artist,image,title,material,medium,date,location,address,zip,lat,lon,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline2.JPG,Crystalline #2,Stainless Steel,Sculpture,1/1/13 0:00,Colorado Streetscape,Colorado Street,78701,30.266748,-97.744676,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline3.JPG,Crystalline #3,Stainless Steel,Sculpture,1/1/13 0:00,Colorado Streetscape,Colorado Street,78701,30.268244,-97.744283,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline4.JPG,Crystalline #4,Stainless Steel,Sculpture,1/1/13 0:00,Colorado Streetscape,Colorado Street,78701,30.26876,-97.744173,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline5.JPG,Crystalline #5,Stainless Steel,Sculpture,1/1/17 0:00,Colorado Streetscape,Colorado Street and Cesar Chavez Street,78701,30.264017,-97.745695,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline6.JPG,Crystalline #6,Stainless Steel,Sculpture,1/1/17 0:00,Colorado Streetscape,Colorado Street and 2nd Street,78701,30.264939,-97.745523,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline7.JPG,Crystalline #7,Stainless Steel,Sculpture,1/1/17 0:00,Colorado Streetscape,Colorado Street and 7th Street,78701,30.269495,-97.743657,,,
"Dharmesh  Patel,  Autumn J.  Ewalt",img/Crystalline8.JPG,Crystalline #8,Stainless Steel,Sculpture,1/1/17 0:00,Colorado Streetscape,Colorado Street and 8th Street,78701,30.270443,-97.74346,,,
Jill  Bedgood,img/NA.jpg,Currency,Bronze,Sculpture,1/1/14 0:00,Second Street District,W Second St,78701,30.263715,-97.741873,,,
"Andrew Bellatti Green,  Adam  Pyrek",img/NA.jpg,Cyclical Interplay,"Waterjet Cut Steel, Cast Concrete, Telemetry Components, Gears",Mixed Media,1/1/14 0:00,Vic Mathias Shores,800 W Riverside Dr,78704,30.260664,-97.749049,,,
Stanley Studio  ,img/NA.jpg,Cypress Grove,"Stainless Steel, Concrete, Limestone, Drinking Fountain",Mixed Media,1/1/15 0:00,Second Street District,W Second St,78701,30.264309,-97.743987,,,
Jennifer  Chenoweth,img/Cosmos.JPG,Dance of the Cosmos,"Concrete, Steel, Actuator, Solar Electrical Components",Mosaic,1/1/15 0:00,Patterson Park,4200 Brookview Rd,78722,30.294774,-97.708601,,,
Rene  Anguiano,img/NA.jpg,Dawn to Dusk,14 Acrylic Paintings,Painting,1/1/98 0:00,Cepeda Branch Library,651 N Pleasant Valley Rd,78702,30.259081,-97.708902,,,
"Wanda  Montemayor,  Lisa Kay  Orr",img/NA.jpg,Deep Eddy Mural Project,"Handmade Ceramic Tiles, Glass Tiles",Mosaic,1/1/11 0:00,Deep Eddy Pool,401 Deep Eddy Dr,78703,30.277201,-97.772897,,,
Will  Larson,img/Discovery.JPG,Discovery,Metal And Limestone,Sculpture,1/1/02 0:00,Ruiz Branch Library,1600 Grove Blvd,78702,30.229862,-97.707011,,,
"Sandra  Fiedorek,  David  Heymann",img/NA.jpg,Doctor Pangloss,20 Metal Trash Receptacles,Sculpture,1/1/99 0:00,Household Hazardous Waste Facility,3810 Todd Ln,78744,30.213491,-97.737668,,,
Unknown Artist,img/NA.jpg,Don Vito Alessio Robles,"Cast Bronze, Metal, Tile",Mixed Media,1/1/00 0:00,Plaza Saltillo,408 Comal St,78702,30.261929,-97.727242,,,
Pio  Pulido,img/DoveHealing.JPG,Dove and the Leaves of Healing,"Fiberglass, Concrete",Sculpture,1/1/96 0:00,EMS Station 4,1201 Webberville Rd,78721,30.27809,-97.684298,,,
Elisabet  Ney,img/NA.jpg,Dr. David Thomas Iglehart,"Bronze, Limestone",Sculpture,1/1/03 0:00,Symphony Square,1101 Red River St,78701,30.271352,-97.734996,,,
David  Deming,img/NA.jpg,Eagle ll,Weathered Steel,Sculpture,1/1/76 0:00,Faulk Central Library,800 Guadalupe St,78701,30.271302,-97.746017,,,
Martin  Garcia,img/eastsidecompass.JPG,East Side Compass,"Cast Concrete, Stain",Sculpture,1/1/11 0:00,E. Seventh Street Obelisco at Pleasant Valley Rd.,E 7th and Pleasant Valley Rd,78702,30.26007,-97.709473,,,
Connie  Arismendi,img/ElFuturo.JPG,El futuro es una página en blanco. Qué escribirás en ella?,Aquajet Cut Aluminum,Sculpture,1/1/05 0:00,Terrazas Branch Library,1105 E Cesar Chavez St,78702,30.260012,-97.733324,,,
"Murray Legge, Deborah Lewis, Andrea Legge  ",img/elevatedprairie.JPG,Elevated Prairie,"Steel Planters, Fountain, Earth Berms, And Native Landscaping",Mixed Media,1/1/04 0:00,Central East Austin Police Substation,812 Springdale Rd,78702,30.259173,-97.699814,,,
Brad J. Goldberg,img/placehistory.JPG,Every Place A History,"Red Granite, Texas Limestone",Sculpture,1/1/11 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.251847,-97.690501,,,
Victor Perez-Rul,img/exoskeleton.JPG,Exoskeleton,"Solar Hardware, Steel, And Powder Coating",1/1/17 0:00,Emma S. Barrientos Mexican American Cultural Center,600 River St,Austin,TX,78701,30.258163,-97.740239,,"(30.258163000000003, -97.740239)"
Lars  Stanley,img/FireInTheHeart.JPG,Fire in the Heart,"Steel Gate, Pillars And Light Sconces",Landscape,1/1/90 0:00,Fire Station 17,4123 S First St,78745,30.224806,-97.770849,,,
Stefanie  Distefano,img/Flamingo.JPG,Flamingo Mitote,"Ceramic Tiles, Mirrored Tiles",Mosaic,1/1/12 0:00,Patterson Park,4201 Brookview Rd,78722,30.296222,-97.709338,,,
Marla  Camp,img/NA.jpg,Flights of Fancy,"Acrylic Paint, Metal",Painting,1/1/98 0:00,Yarborough Branch Library,2200 Hancock Dr,78756,30.323427,-97.740711,,,
Laura  Garanzuay,img/NA.jpg,Flow,Stainless Steel Hardware,Sculpture,1/1/15 0:00,Second Street District,W Second St,78701,30.2654,-97.747762,,,
Archaic (Kincannon Studios)  ,img/NA.jpg,"For Jeep, With Love",Carved Limestone,Sculpture,1/1/01 0:00,Palmer Events Center,900 Barton Springs Rd,78704,30.260248,-97.753415,,,
Robert  Herrera,img/ForLaRaza.JPG,For La Raza,Acrylic Paint,Painting,1/1/92 0:00,Holly Street Power Plant,2400 Holly St,78702,30.249525,-97.72138,,,
"Hawkeye  Glenn,  Lizzie  Martinez",img/NA.jpg,"Formation, language, memory","Sunset Red Granite, Leuders Limestone, Steel Planters, Paint.",Mixed Media,1/1/10 0:00,Joseph and Susanna Dickinson Hannig Museum,411 E Fifth St,78701,30.26572,-97.738868,,,
Robert  Levers,img/terrorists.JPG,Four Terrorists Trapped in a Bullring,Soft Ground Etching,Landscape,1/1/93 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Paul  Sorey,img/NA.jpg,Fractal Tree,Stainless Steel,Sculpture,1/1/13 0:00,Cirrus Logic Inc.,800 W Sixth St,78701,30.270527,-97.750899,,,
Ben  Harman,img/NA.jpg,Gear Grove,"Stainless Steel, Mild Steel, Found Objects (repurposed Bike Gears)",Mixed Media,1/1/13 0:00,Congress Avenue Streetscape,818 Congress Avenue,78701,30.270778,-97.741969,,,
Victor  Gutierrez,img/NA.jpg,General Ignacio Zaragoza,Bronze,Sculpture,1/1/96 0:00,Parque Zaragoza Recreation Center,2608 Gonzales St,78702,30.261743,-97.711567,,,
Hunter  Cross,img/Geode.JPG,Geode,"Plaster, Glass, Electrical, Metal, Concrete",Mixed Media,1/1/14 0:00,Northwest Greenway,4624 1/2 James Wheat St,78723,30.30066,-97.704586,,,
Eddie  Dixon,img/NA.jpg,Go Forth,Cast Bronze,Sculpture,1/1/05 0:00,George Washington Carver Museum and Cultural Center,1165 Angelina St,78702,30.269565,-97.724044,,,
Urban Matter Inc.,img/GoldenAfternoon.JPG,Golden Afternoon,"Stainless Steel, Fiber Optic Cable, Light Emitting Diodes",Mixed Media,1/1/16 0:00,Seaholm Parking Structure,211 Walter Seaholm Dr,78701,30.267777,-97.752855,,,
Unknown Artist,img/NA.jpg,Granite Gates,Carved Granite,Sculpture,1/1/98 0:00,Zilker Botanical Gardens,2220 Barton Springs Rd,78746,30.26881,-97.77119,,,
Jimmy  Jalapeeno,img/NA.jpg,Green Austin Series,7 Oil Paintings On Canvas,Painting,1/1/90 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20227,-97.66681,,,
Berthold  Haas,img/grottowall.JPG,Grotto Wall at Sparky Park,"Karst Stone, Steel, Mirror Balls, Various Stone, Aggregates, Masonry, Petrified Wood, Fossils, Seashells, Ceramic, Found Objects",Mixed Media,1/1/08 0:00,Sparky Park,3701 Grooms St,78705,30.299035,-97.732193,,,
Wanda  Gamble,img/NA.jpg,Hidden Canyon,Oil On Canvas,Painting,1/1/93 0:00,Cultural Arts Division Offices,201 E 2nd St,78701,30.2638,-97.74222,,,
Deborah  Mersky,img/NA.jpg,High Water Mark,Nineteen Stainless Steel Laser-cut Panels With Porcelain Enamel Insets,Sculpture,1/1/08 0:00,Cesar Chavez Streetscape,Cesar Chavez at S First St,78701,30.264098,-97.747932,,,
Thomas  Evans,img/NA.jpg,Hill of the Medicine Man,9 Oil On Canvas Panels,Painting,1/1/99 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20239,-97.66621,,,
Raul  Valdez,img/hillsidemural.JPG,Hillside Mural,Acrylic Paint On Existing Cement And Cinderblock Walls,Painting,1/1/78 0:00,Oswaldo A. B. Cantu/Pan American Hillside Theatre,2100 E Third St,78702,30.25862,-97.721557,,,
Philippe  Klinefelter,img/hourglass.JPG,Hour Glass Seating Arbor,"Granite, Steel, Landscaping",Landscape,1/1/06 0:00,Rosewood-Zaragoza Neighborhood Center,2800 Webberville Rd,78702,30.265427,-97.710536,,,
Margo  Sawyer,img/NA.jpg,Index For Contemplation,Powder-coated Metal,Sculpture,1/1/02 0:00,Austin Convention Center,500 E Cesar Chavez St,78701,30.263713,-97.739702,,,
Chris  Levack,img/NA.jpg,Iron Wave,"Steel Ramp With Rolled Steel Pipe, Sheet And Rods, Painted, Concrete Foundation.",Landscape,1/1/11 0:00,Heath Eiland and Morgan Moss BMX Skate Park,1213 Shoal Creek Blvd,78701,30.277232,-97.749802,,,
Priscilla  Robinson,img/NA.jpg,"Italianos 1,2,3; Indian Land 1; Pueblo Trees; On the Way",Six Pastel Drawings,Drawing,1/1/90 0:00,Cultural Arts Division Offices,201 E 2nd St,78701,30.26365,-97.7429,,,
Juan Antonio  Lugo Villegas,img/NA.jpg,Jose Maria Morelos y Pavon,"Bronze, Cast Cement Pedestal",Sculpture,1/1/03 0:00,Republic Square Park,422 Guadalupe St,78701,30.267803,-97.747648,,,
Sara  Hickman,img/NA.jpg,Keep Austin Weird,Stickers And Paper On Fiberglass,Mixed Media,1/1/06 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
Misty  Keasler,img/NA.jpg,"Kids in the Mirror, Orphanage at Svir Stroi, Svir Stroi, Russia",C-print On Fujicolor Crystal Archive Paper,Print,1/1/02 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
"Roger  Colombik,  Jerolyn  Bahm-Colombik",img/LaFuente.JPG,La Fuente en Calle Segunda / The Spring of Second Street,"Bronze, Aluminum",Sculpture,1/1/10 0:00,Second Street District,W Second St,78701,30.26992,-97.74332,,,
Delfin  Escalante,img/NA.jpg,La Guitarra,Acrylic Paint And Marker On Fiberglass,Painting,1/1/06 0:00,Austin Bergstrom International Airport,3600 Presidential Blvd,78719,30.20208,-97.66698,,,
David  Serrano,img/lapinata.JPG,La Pinata,Serigraph,Print,1/1/96 0:00,Learning and Research Center,2800 Spirit of Texas Dr,78719,30.2116,-97.66992,,,
Fidencio  Duran,img/NA.jpg,La Quinceanera- 15th Birthday,Acrylic Paint,Painting,1/1/92 0:00,Holly Street Power Plant,2400 Holly St,78702,30.251077,-97.719286,,,
Victoria  Smith,img/NA.jpg,Lady Bird Johnson Wildflower Spring #1,Archival Iris Giclee Photograph On Somerset Watercolor Paper,Print,1/1/99 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Victoria  Smith,img/NA.jpg,Lady Bird Johnson Wildflower Spring #2,Archival Iris Giclee Photograph On Somerset Watercolor Paper,Print,1/1/99 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Victoria  Smith,img/NA.jpg,Lady Bird Johnson Wildflower Spring #3,Archival Iris Giclee Photograph On Somerset Watercolor Paper,Print,1/1/99 0:00,Health and Human Services Betty Dunkerley Campus,7201 Levander Loop,78702,30.253828,-97.689018,,,
Jim  Beckett,img/NA.jpg,Lady Bird Lake: Morning,Archival Inkjet Print,Print,1/1/11 0:00,City Hall and Public Plaza,301 W Second St,78701,30.26479,-97.74729,,,
